file_name,cmp_ratio,abs_mean_uncmp,min_uncmp,max_uncmp,mean_uncmp,cmp_time,read_time,write_time,tot_time,
DF__UTC_20201111_010258/DF__UTC_20201111_010258.642.h5,4.24766,444.552,-24233,22833,-0.399828,1699,8750,2050,17766,
DF__UTC_20201111_010458/DF__UTC_20201111_010458.642.h5,4.24768,457.182,-23476,24575,-0.497338,1680,8369,254,15289,
DF__UTC_20201111_010358/DF__UTC_20201111_010358.642.h5,4.24744,456.644,-24452,23395,-0.411355,1745,8713,265,15947,
DF__UTC_20201111_010558/DF__UTC_20201111_010558.642.h5,4.24751,460.249,-23761,24115,-0.89998,1760,8594,269,15771,
DF__UTC_20201111_010658/DF__UTC_20201111_010658.642.h5,4.24744,452.711,-24253,24151,-1.00496,1781,8557,1687,17096,
DF__UTC_20201111_010758/DF__UTC_20201111_010758.642.h5,4.24748,449.159,-24619,24751,-0.591738,1663,8176,1929,16730,
DF__UTC_20201111_010858/DF__UTC_20201111_010858.642.h5,4.24789,449.052,-23516,23376,-0.0610574,1683,8472,5428,20501,
DF__UTC_20201111_011158/DF__UTC_20201111_011158.642.h5,4.24787,454.404,-23461,23469,-0.15226,1599,8479,3032,18170,
DF__UTC_20201111_010958/DF__UTC_20201111_010958.642.h5,4.24777,464.98,-23907,24297,-0.362398,1667,8914,4400,20071,
DF__UTC_20201111_011058/DF__UTC_20201111_011058.642.h5,4.24801,457.109,-22716,23827,-0.302814,1640,8722,3996,19409,
DF__UTC_20201111_011258/DF__UTC_20201111_011258.642.h5,4.2474,459.371,-24758,24481,-0.168352,1641,8083,1888,16748,
DF__UTC_20201111_011358/DF__UTC_20201111_011358.642.h5,4.24781,450.75,-23516,22948,-0.302358,1837,8157,1875,17022,
DF__UTC_20201111_011458/DF__UTC_20201111_011458.642.h5,4.24769,446.524,-24117,23214,-0.212341,1727,8203,1969,17006,
DF__UTC_20201111_011558/DF__UTC_20201111_011558.642.h5,4.24777,459.852,-23844,22782,-0.249328,1650,7993,2178,16883,
DF__UTC_20201111_011758/DF__UTC_20201111_011758.642.h5,4.24781,444.356,-23645,23418,-0.290576,1666,8515,2393,17619,
DF__UTC_20201111_011658/DF__UTC_20201111_011658.642.h5,4.24773,445.101,-23838,23202,-0.2433,1776,8602,2751,18181,
DF__UTC_20201111_011858/DF__UTC_20201111_011858.642.h5,4.24765,446.906,-24523,23326,-0.299434,1723,8491,1921,17063,
DF__UTC_20201111_011958/DF__UTC_20201111_011958.642.h5,4.24748,448.179,-24508,24462,-0.551739,1726,9153,2161,18237,
DF__UTC_20201111_012058/DF__UTC_20201111_012058.642.h5,4.24696,466.143,-24907,24399,-0.99901,1705,9571,2213,18476,
DF__UTC_20201111_012158/DF__UTC_20201111_012158.642.h5,4.24753,460.243,-23817,24575,-0.623048,1657,11009,2046,19713,
DF__UTC_20201111_012258/DF__UTC_20201111_012258.642.h5,4.24778,446.554,-23853,23558,0.0598449,1786,9635,1954,18614,
DF__UTC_20201111_012358/DF__UTC_20201111_012358.642.h5,4.2478,459.492,-23767,23525,-0.230312,1648,9024,2319,17956,
DF__UTC_20201111_012458/DF__UTC_20201111_012458.642.h5,4.24781,445.721,-23831,23467,-0.320912,1721,9492,1507,17993,
DF__UTC_20201111_012558/DF__UTC_20201111_012558.642.h5,4.2477,470.265,-23738,24559,-0.0766814,1730,9036,1922,18012,
DF__UTC_20201111_012658/DF__UTC_20201111_012658.642.h5,4.24771,462.622,-23909,23618,-0.296273,1843,9618,286,17004,
DF__UTC_20201111_012758/DF__UTC_20201111_012758.642.h5,4.2479,441.782,-23439,22640,-0.247457,1581,9211,1010,16856,
DF__UTC_20201111_012858/DF__UTC_20201111_012858.642.h5,4.24777,447.756,-23899,22538,-0.215378,1732,10446,1841,19076,
DF__UTC_20201111_012958/DF__UTC_20201111_012958.642.h5,4.24787,440.641,-23710,23088,-0.234512,1663,8561,2021,17278,
DF__UTC_20201111_013058/DF__UTC_20201111_013058.642.h5,4.24783,444.55,-23695,23303,-0.325533,1750,9722,259,16773,
DF__UTC_20201111_013458/DF__UTC_20201111_013458.642.h5,4.24747,433.319,-24442,24903,-0.629758,1724,9298,255,16306,
DF__UTC_20201111_013358/DF__UTC_20201111_013358.642.h5,4.24758,423.357,-24168,24420,-0.92192,1747,9657,265,16786,
DF__UTC_20201111_013158/DF__UTC_20201111_013158.642.h5,4.24786,446.742,-23294,24053,-0.306189,1724,9716,2226,18737,
DF__UTC_20201111_013258/DF__UTC_20201111_013258.642.h5,4.2473,451.412,-24876,25030,-0.679936,1741,9855,2198,18872,
DF__UTC_20201111_013558/DF__UTC_20201111_013558.642.h5,4.24806,423.695,-22342,22638,0.138747,1711,8950,2019,17699,
DF__UTC_20201111_013758/DF__UTC_20201111_013758.642.h5,4.24775,432.728,-24326,22488,-0.09921,1734,8637,1987,17445,
